date,open,high,low,close,volume
2019-01-04 09:30:00-05:00,144.42,144.54,144.07,144.51,9329.0
2019-01-04 09:31:00-05:00,144.505,144.525,143.805,143.955,14569.0
2019-01-04 09:32:00-05:00,143.955,144.34,143.835,144.02,29444.0
2019-01-04 09:33:00-05:00,144.01,144.35,144.01,144.35,8003.0
2019-01-04 09:34:00-05:00,144.36,144.76,144.34,144.51,10164.0
2019-01-04 09:35:00-05:00,144.51,144.51,144.24,144.26,51424.0
2019-01-04 09:36:00-05:00,144.25,144.305,143.895,144.305,13522.0
2019-01-04 09:37:00-05:00,144.3,144.67,144.29,144.67,11837.0
2019-01-04 09:38:00-05:00,144.665,144.755,144.525,144.74,13687.0
2019-01-04 09:39:00-05:00,144.75,144.94,144.715,144.885,7851.0
2019-01-04 09:40:00-05:00,144.89,144.93,144.435,144.44,6931.0
2019-01-04 09:41:00-05:00,144.425,144.61,144.415,144.56,7687.0
2019-01-04 09:42:00-05:00,144.565,144.725,144.51,144.7,7678.0
2019-01-04 09:43:00-05:00,144.7,144.765,144.49,144.495,16474.0
2019-01-04 09:44:00-05:00,144.505,144.68,144.435,144.435,12181.0
2019-01-04 09:45:00-05:00,144.455,144.905,144.45,144.81,10053.0
2019-01-04 09:46:00-05:00,144.805,144.805,144.5,144.65,9969.0
2019-01-04 09:47:00-05:00,144.65,144.755,144.575,144.58,12833.0
2019-01-04 09:48:00-05:00,144.575,144.755,144.57,144.615,11827.0
2019-01-04 09:49:00-05:00,144.615,145.025,144.535,144.945,22684.0
2019-01-04 09:50:00-05:00,144.95,144.955,144.66,144.675,5247.0
2019-01-04 09:51:00-05:00,144.675,144.8,144.6,144.76,4991.0
2019-01-04 09:52:00-05:00,144.765,144.89,144.73,144.8,4294.0
2019-01-04 09:53:00-05:00,144.815,144.97,144.78,144.785,3803.0
2019-01-04 09:54:00-05:00,144.82,144.855,144.66,144.695,9718.0
2019-01-04 09:55:00-05:00,144.69,144.85,144.61,144.68,4864.0
2019-01-04 09:56:00-05:00,144.685,144.76,144.5,144.735,12663.0
2019-01-04 09:57:00-05:00,144.74,145.03,144.705,144.85,4424.0
2019-01-04 09:58:00-05:00,144.85,145.115,144.85,145.115,6975.0
2019-01-04 09:59:00-05:00,145.11,145.42,145.105,145.415,6835.0
2019-01-04 10:00:00-05:00,145.38,145.54,145.375,145.535,3638.0
2019-01-04 10:01:00-05:00,145.575,145.675,145.51,145.545,3374.0
2019-01-04 10:02:00-05:00,145.56,145.75,145.55,145.625,3122.0
2019-01-04 10:03:00-05:00,145.61,145.66,145.57,145.57,101.0
2019-01-04 10:04:00-05:00,145.57,145.57,145.57,145.57,0.0
2019-01-04 10:05:00-05:00,145.57,145.57,145.57,145.57,0.0
2019-01-04 10:06:00-05:00,145.365,145.455,145.365,145.42,312.0
2019-01-04 10:07:00-05:00,145.425,145.43,145.375,145.39,100.0
2019-01-04 10:08:00-05:00,145.39,145.39,145.39,145.39,0.0
2019-01-04 10:09:00-05:00,145.585,145.6,145.47,145.51,1801.0
2019-01-04 10:10:00-05:00,145.515,145.62,145.505,145.545,1856.0
2019-01-04 10:11:00-05:00,145.55,145.645,145.36,145.4,7017.0
2019-01-04 10:12:00-05:00,145.4,145.49,145.395,145.45,1986.0
2019-01-04 10:13:00-05:00,145.45,145.535,145.255,145.33,2238.0
2019-01-04 10:14:00-05:00,145.315,145.485,145.31,145.37,5067.0
2019-01-04 10:15:00-05:00,145.375,145.525,145.36,145.43,3555.0
2019-01-04 10:16:00-05:00,145.44,145.55,145.225,145.225,8127.0
2019-01-04 10:17:00-05:00,145.225,145.59,145.165,145.565,3266.0
2019-01-04 10:18:00-05:00,145.565,145.59,145.43,145.435,2604.0
2019-01-04 10:19:00-05:00,145.435,145.435,145.435,145.435,0.0
2019-01-04 10:20:00-05:00,145.38,145.38,145.365,145.365,100.0
2019-01-04 10:21:00-05:00,145.455,145.49,145.45,145.455,100.0
2019-01-04 10:22:00-05:00,146.015,146.485,145.935,146.485,2117.0
2019-01-04 10:23:00-05:00,146.535,146.69,146.4,146.525,5191.0
2019-01-04 10:24:00-05:00,146.6,146.865,146.48,146.635,8040.0
2019-01-04 10:25:00-05:00,146.63,147.07,146.575,147.045,13131.0
2019-01-04 10:26:00-05:00,147.05,147.095,146.825,147.045,9604.0
2019-01-04 10:27:00-05:00,147.065,147.14,146.915,146.975,13476.0
2019-01-04 10:28:00-05:00,146.96,147.09,146.84,146.885,30487.0
2019-01-04 10:29:00-05:00,146.885,147.04,146.73,146.84,5831.0
2019-01-04 10:30:00-05:00,146.815,147.025,146.8,146.96,3747.0
2019-01-04 10:31:00-05:00,146.975,147.065,146.77,146.775,5058.0
2019-01-04 10:32:00-05:00,146.78,146.805,146.665,146.75,12032.0
2019-01-04 10:33:00-05:00,146.79,147.12,146.785,146.98,5668.0
2019-01-04 10:34:00-05:00,146.98,146.98,146.98,146.98,0.0
2019-01-04 10:35:00-05:00,146.58,146.615,146.58,146.615,1074.0
2019-01-04 10:36:00-05:00,146.615,146.615,146.615,146.615,0.0
2019-01-04 10:37:00-05:00,146.615,146.615,146.615,146.615,0.0
2019-01-04 10:38:00-05:00,146.76,146.8,146.76,146.785,610.0
2019-01-04 10:39:00-05:00,146.8,146.86,146.615,146.675,3751.0
2019-01-04 10:40:00-05:00,146.675,146.72,146.55,146.65,3199.0
2019-01-04 10:41:00-05:00,146.645,146.73,146.5,146.65,4966.0
2019-01-04 10:42:00-05:00,146.63,146.795,146.595,146.77,4429.0
2019-01-04 10:43:00-05:00,146.77,146.81,146.68,146.75,2150.0
2019-01-04 10:44:00-05:00,146.73,146.745,146.525,146.64,4150.0
2019-01-04 10:45:00-05:00,146.635,146.695,146.61,146.62,3344.0
2019-01-04 10:46:00-05:00,146.62,147.03,146.62,147.03,6492.0
2019-01-04 10:47:00-05:00,147.05,147.115,146.82,146.82,4239.0
2019-01-04 10:48:00-05:00,146.83,146.88,146.83,146.875,2447.0
